Price,Close,High,Low,Open,Volume,RSI_14,MA_9,MA_21,MA_51,MACD,MACD_Signal,MACD_Hist
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,,,,,,,
Date,,,,,,,,,,,,
2016-11-22,235.33287048339844,240.1794269678176,229.6632896203388,238.48769494362244,25631435,49.10612393060489,247.67791748046875,239.34774634951637,236.29574495203354,3.0722007431664338,3.284081294911979,-0.2118805517455451
2016-11-23,236.52166748046875,238.07623825731983,232.95533041753689,237.57327575577264,16190033,54.58382639266156,247.5407511393229,239.35427711123512,236.26974606981466,2.3528726259871178,3.0978395611270066,-0.7449669351398889
2016-11-24,239.3564453125,240.49950379059217,232.77243126935923,235.74436935904828,28927720,59.98759495285171,245.55437215169272,239.30202302478608,236.17919802198222,1.9886192258977076,2.875995494081147,-0.8873762681834396
2016-11-25,238.62490844726562,241.87118349021904,236.24734113785496,240.9567366717305,19303589,61.51399212896306,244.3300306532118,239.2802501860119,236.04651387532553,1.622216963348592,2.6252397879346363,-1.0030228245860444
2016-11-28,231.85800170898438,235.69867568998404,226.78281889860733,231.766551442604,22315183,50.55811103845903,241.82546149359808,239.05381702241442,235.85734947054993,0.7768526364931176,2.2555623576463324,-1.4787097211532148
2016-11-29,231.08071899414062,234.55561985676303,230.44060898208298,232.49811441942302,12656706,50.03249449046536,239.3361341688368,238.93624587286087,235.85645279229857,0.043671677955103405,1.8131842217080867,-1.7695125437529833
2016-11-30,236.24732971191406,237.8933227429052,231.0806970653238,232.26948066253442,16501691,48.903656164718,237.39547220865884,238.9514864966983,235.87079784916895,-0.11910424857518365,1.4267265276514327,-1.5458307762266164
2016-12-01,233.77833557128906,238.67063188279437,232.86388870583775,237.43612303309433,12986151,27.361031213945026,235.34812757703992,238.8077872140067,235.8645222981771,-0.44223472931315655,1.0529342762585148,-1.4951690055716713
2016-12-02,232.36093139648438,239.0363816995677,231.35503436139896,232.2237560080543,21139754,31.062140733730814,235.01791212293836,238.9405989873977,235.86093618355545,-0.8034292027610945,0.6816615804545929,-1.4850907832156874
2016-12-05,234.92137145996094,235.74436797802585,231.53792117529895,232.635254517169,8406973,27.578919413005806,234.97219000922308,239.43048095703125,235.88334865196077,-0.8730088084869863,0.3707275026662771,-1.2437363111532633
2016-12-06,236.9331817626953,237.8933397817603,234.4184529533602,236.3845080774998,10048459,31.4168591706715,235.01791381835938,240.1380884079706,235.9667250689338,-0.7570876343106931,0.14516447527088303,-0.9022521095815762
2016-12-07,233.73260498046875,240.2708939441354,230.12052899921795,238.0762272306482,22193202,28.970161794917587,234.3930426703559,240.26436869303384,236.04651507209329,-0.9129550886315201,-0.06645943750959761,-0.8464956511219225
